ts,liquid_rate_in_hr,ice_rate_in_hr,snow_rate_in_hr,horizontal_mf_salt,road_liq_depth_in,road_ice_depth_in,road_unbndice_depth_in,road_cmpsnw_in,road_snow_depth_in,prct_ice,speed_mph,profile_speed,ref_speed,imputed,rel_speed
2017-12-10 08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9790825158684364,0.9161136757068669,69.32,0.0,0.9790825158684364
2017-12-10 09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9457587997691865,0.9290464512406232,69.32,0.0,0.9457587997691865
2017-12-10 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9213791113675708,0.9228289094056551,69.32,0.0,0.9213791113675708
2017-12-10 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01933064050779,0.9565276976341605,69.32,0.0,1.01933064050779
2017-12-10 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8770917484131564,0.9397576457010965,69.32,0.0,0.8770917484131564
2017-12-10 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9376803231390654,0.918429024812464,69.32,0.0,0.9376803231390654
2017-12-10 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626370455856897,0.9275028851702252,69.32,0.0,0.9626370455856897
2017-12-10 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411425274091172,0.9078404500865552,69.32,0.0,0.9411425274091172
2017-12-10 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8680034622042702,0.8427005193306405,69.32,0.0,0.8680034622042702
2017-12-10 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7645701096364687,0.8760025966532026,69.32,0.0,0.7645701096364687
2017-12-10 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8655510675129834,0.9194733805083974,69.32,0.0,0.8655510675129834
2017-12-10 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9376803231390654,0.9228672517994352,69.32,0.0,0.9376803231390654
2017-12-10 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934218118869014,0.8964584535487594,69.32,0.0,0.7934218118869014
2017-12-10 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8799769186381997,0.8716523539594719,69.32,0.0,0.8799769186381997
2017-12-10 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0530871321407964,0.8777697634160416,69.32,0.0,1.0530871321407964
2017-12-10 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8839899281330327,0.8839899281330327,69.32,1.0,0.8839899281330327
2017-12-11 00,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7212925562608195,0.8616560877091749,69.32,0.0,0.7212925562608195
2017-12-11 01,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.008,0.14,100.0,0.5626081938834392,0.8762694748990192,69.32,0.0,0.5626081938834392
2017-12-11 02,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.008,0.14,100.0,0.9376803231390654,0.9376803231390654,69.32,1.0,0.9376803231390654
2017-12-11 03,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.008,0.14,100.0,0.890796306982112,0.890796306982112,69.32,1.0,0.890796306982112
2017-12-11 04,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.008,0.14,100.0,0.8597807270628968,0.8597807270628968,69.32,1.0,0.8597807270628968
2017-12-11 05,0.002,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.9154645124062321,0.9881708020773227,69.32,0.0,0.9154645124062321
2017-12-11 06,0.02,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.7703404500865552,0.8839636993128049,69.32,0.0,0.7703404500865552
2017-12-11 07,0.002,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.6914310444316215,0.9135297511964972,69.32,0.0,0.6914310444316215
2017-12-11 08,0.002,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.7410559723023659,0.9696007973561351,69.32,0.0,0.7410559723023659
2017-12-11 09,0.0,0.0,0.02,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.6524812463935372,0.9422711381147959,69.32,0.0,0.6524812463935372
2017-12-11 10,0.0,0.0,0.02,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.8615118291979228,0.9325097943936587,69.32,0.0,0.8615118291979228
2017-12-11 11,0.0,0.0,0.02,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.9101269474899021,0.9521061742642817,69.32,0.0,0.9101269474899021
2017-12-11 12,0.0,0.0,0.01,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.88733410271206,0.9475940886067834,69.32,0.0,0.88733410271206
2017-12-11 13,0.0,0.0,0.01,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.8768032313906522,0.9594329881252468,69.32,0.0,0.8768032313906522
2017-12-11 14,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.9111367570686671,0.9188673161128272,69.32,0.0,0.9111367570686671
2017-12-11 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9425851125216389,0.9181092517791883,69.32,0.0,0.9425851125216389
2017-12-11 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918061165608772,0.8985862665897288,69.32,0.0,0.8918061165608772
2017-12-11 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8882267022504329,0.8882267022504329,69.32,1.0,0.8882267022504329
2017-12-11 18,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8721869590305829,0.891775746347982,69.32,0.0,0.8721869590305829
2017-12-11 19,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9303231390652049,0.911407241777265,69.32,0.0,0.9303231390652049
2017-12-11 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919503750721293,0.8822232297419835,69.32,0.0,0.8919503750721293
2017-12-11 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8967109059434507,0.8609610239731418,69.32,0.0,0.8967109059434507
2017-12-11 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805395268320831,0.9195037507212926,69.32,0.0,0.805395268320831
2017-12-11 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0240911713791114,0.9477623902032443,69.32,0.0,1.0240911713791114
2017-12-12 00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7951791428421551,0.7951791428421551,69.32,1.0,0.7951791428421551
2017-12-12 01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8647496313393602,0.8647496313393602,69.32,1.0,0.8647496313393602
2017-12-12 02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809578765147144,0.8366993652625506,69.32,0.0,0.9809578765147144
2017-12-12 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828380457780343,0.8828380457780343,69.32,1.0,0.8828380457780343
2017-12-12 04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6780150028851702,0.9604491248316985,69.32,0.0,0.6780150028851702
2017-12-12 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9316214656664744,0.9031601099759005,69.32,0.0,0.9316214656664744
2017-12-12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889930755914599,0.8832628069500545,69.32,0.0,0.889930755914599
2017-12-12 07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630986728216965,0.8864605372828109,69.32,0.0,0.8630986728216965
2017-12-12 08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9151759953837277,0.882581586202475,69.32,0.0,0.9151759953837277
2017-12-12 09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130121177149453,0.8908604218760019,69.32,0.0,0.9130121177149453
2017-12-12 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928592036930179,0.9059915368340067,69.32,0.0,0.928592036930179
2017-12-12 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9490767455279864,0.886210404834938,69.32,0.0,0.9490767455279864
2017-12-12 12,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9505193306405079,0.8927998974161698,69.32,0.0,0.9505193306405079
2017-12-12 13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169070975187538,0.8901205697451939,69.32,0.0,0.9169070975187538
2017-12-12 14,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606462781304097,0.8612612749415375,69.32,0.0,0.8606462781304097
2017-12-12 15,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8935372186959031,0.8865824399429041,69.32,0.0,0.8935372186959031
2017-12-12 16,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9291690709751875,0.8659678143232673,69.32,0.0,0.9291690709751875
2017-12-12 17,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212348528563186,0.8288160619123588,69.32,0.0,0.9212348528563186
2017-12-12 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9303231390652049,0.8581429686704457,69.32,0.0,0.9303231390652049
2017-12-12 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9016156953260244,0.9485958838238123,69.32,0.0,0.9016156953260244
2017-12-12 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9121465666474322,0.8561964578987084,69.32,0.0,0.9121465666474322
2017-12-12 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859924985574149,0.8235035077595895,69.32,0.0,0.859924985574149
2017-12-12 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944027697634162,0.8124861289893027,69.32,0.0,0.8944027697634162
